microRNA,R_squared
hsa-miR-200c-3p,0.950332794266537
hsa-miR-141-3p,0.947417258158207
hsa-miR-141-5p,0.946237225802703
hsa-miR-373-5p,0.941666200679741
hsa-miR-302b-3p,0.941011132639313
hsa-miR-200c-5p,0.939612960385896
hsa-miR-122-3p,0.938643052425572
hsa-miR-205-5p,0.936269163354897
hsa-miR-302a-3p,0.932540479514283
hsa-miR-302a-5p,0.93250925403531
hsa-miR-200b-3p,0.93134150720946
hsa-miR-302d-3p,0.930875672907946
hsa-miR-194-5p,0.925016709725388
hsa-miR-122-5p,0.924752296653911
hsa-miR-200a-5p,0.92452320454468
hsa-miR-200a-3p,0.923685729149969
hsa-miR-429,0.921263643486605
hsa-miR-194-3p,0.920976760742494
hsa-miR-302c-3p,0.916927239713533
hsa-miR-192-5p,0.915659874981782
hsa-miR-302c-5p,0.914473088423936
hsa-miR-21-5p,0.914427612237216
hsa-miR-375-3p,0.913980322969333
hsa-miR-944,0.913581571523828
hsa-miR-371a-5p,0.912528900110251
hsa-miR-372-5p,0.910613766663348
hsa-miR-192-3p,0.910288011698944
hsa-miR-200b-5p,0.907072946721445
hsa-miR-371a-3p,0.906495319799336
hsa-miR-142-3p,0.902186665535219
hsa-miR-92a-3p,0.900763863513409
hsa-miR-142-5p,0.900384567153215
hsa-miR-373-3p,0.899383798356481
hsa-miR-211-5p,0.89769838802674
hsa-miR-203a-3p,0.894901200312313
hsa-miR-21-3p,0.890651600032295
hsa-miR-205-3p,0.884373426974393
hsa-miR-22-3p,0.875698699728395
hsa-miR-146a-5p,0.872955411540927
hsa-miR-374a-3p,0.872083362282167
hsa-miR-199b-5p,0.867956582763369
hsa-miR-19b-3p,0.867393943156029
hsa-miR-302d-5p,0.863376304745689
hsa-miR-15b-5p,0.86249328496811
hsa-miR-215-5p,0.86229905097716
hsa-miR-101-3p,0.862222346734622
hsa-miR-29b-3p,0.862173895969791
hsa-miR-17-5p,0.861947863793191
hsa-miR-7-2-3p,0.860387077312423
hsa-miR-29c-3p,0.8603833292173
hsa-miR-18a-5p,0.858773301636281
hsa-miR-130b-3p,0.858729847748747
hsa-miR-30a-5p,0.856791189658256
hsa-miR-367-3p,0.85668235427552
hsa-miR-20a-5p,0.854794784191014
hsa-miR-183-5p,0.852753929977754
hsa-miR-199a-3p,0.851249394811924
hsa-miR-92b-3p,0.851045187362255
hsa-miR-143-3p,0.848695214352635
hsa-miR-135b-5p,0.847170457005804
hsa-miR-126-5p,0.845885082594602
hsa-miR-551b-5p,0.845845690019353
hsa-miR-199b-3p,0.845695659411509
hsa-miR-145-3p,0.843523751432717
hsa-miR-197-3p,0.843002769242698
hsa-miR-148a-3p,0.842711257220679
hsa-miR-342-5p,0.842521284311803
hsa-miR-203b-3p,0.842304219269383
hsa-miR-149-5p,0.842137108836686
hsa-miR-378a-3p,0.841933302622949
hsa-miR-125a-5p,0.841391417778627
hsa-miR-1180-3p,0.839266553143813
hsa-miR-155-5p,0.838005935919669
hsa-miR-584-5p,0.837996914223505
hsa-miR-182-5p,0.837829211358937
hsa-miR-885-5p,0.836755379262518
hsa-miR-625-3p,0.836690221158485
hsa-miR-96-5p,0.83580324680561
hsa-miR-1307-3p,0.835624866338855
hsa-miR-181a-5p,0.835557387089388
hsa-miR-106b-5p,0.835470634583261
hsa-miR-328-3p,0.83415237555993
hsa-miR-223-3p,0.83399422156898
hsa-miR-30a-3p,0.833888561749034
hsa-miR-1301-3p,0.833071329436954
hsa-miR-30e-5p,0.832042605512649
hsa-miR-92a-1-5p,0.831588791442271
hsa-miR-30d-5p,0.831386013612037
hsa-miR-378a-5p,0.831306289634489
hsa-miR-146b-3p,0.829906516811037
hsa-miR-181b-5p,0.828226197924682
hsa-miR-106b-3p,0.827961397230682
hsa-miR-221-3p,0.827941749747375
hsa-miR-125b-5p,0.827940980741584
hsa-miR-455-5p,0.827671720676824
hsa-miR-181b-3p,0.826551166844146
hsa-miR-18a-3p,0.826424508047152
hsa-miR-4677-3p,0.82598091653951
hsa-miR-30c-2-3p,0.825949402180926
hsa-miR-942-5p,0.821775494750464
hsa-let-7c-5p,0.821581529930761
hsa-miR-937-3p,0.820265912711601
hsa-miR-361-5p,0.819901527139336
hsa-miR-222-3p,0.819481972872471
hsa-miR-17-3p,0.819403946396191
hsa-miR-185-5p,0.819154357837633
hsa-miR-324-3p,0.818340068602798
hsa-miR-130b-5p,0.818259091581439
hsa-miR-15a-5p,0.818152829307907
hsa-miR-3151-5p,0.817767432750384
hsa-miR-32-5p,0.817688432634921
hsa-miR-1908-5p,0.817671286371589
hsa-miR-99b-3p,0.817182140590231
hsa-miR-140-5p,0.816949104807782
hsa-miR-628-5p,0.816746360542701
hsa-miR-615-3p,0.816513575828789
hsa-miR-2355-5p,0.815998374737705
hsa-miR-99a-5p,0.815861758671111
hsa-miR-7-5p,0.815254761106231
hsa-miR-16-5p,0.814622644682231
hsa-miR-196b-5p,0.814260559910522
hsa-miR-93-3p,0.814009130158795
hsa-miR-193a-5p,0.812635546042206
hsa-miR-27a-5p,0.811875229306241
hsa-miR-93-5p,0.811621828855194
hsa-miR-590-5p,0.810877540200377
hsa-miR-1226-3p,0.810007040514866
hsa-miR-92b-5p,0.809691285556733
hsa-miR-190b-5p,0.807647384851377
hsa-let-7b-5p,0.80654633697848
hsa-miR-877-5p,0.805565900805646
hsa-miR-99b-5p,0.80363095897305
hsa-miR-652-3p,0.802643994168871
hsa-miR-1266-5p,0.802491246501396
hsa-miR-374a-5p,0.802020538858136
hsa-miR-25-3p,0.800481886242602
hsa-miR-126-3p,0.799586572828808
hsa-miR-15b-3p,0.799351927016085
hsa-miR-191-5p,0.7987154765607
hsa-miR-19b-1-5p,0.798701032235956
hsa-miR-210-3p,0.79731715693722
hsa-miR-128-2-5p,0.79705075156184
hsa-miR-214-5p,0.797034756554575
hsa-miR-4746-5p,0.796937184131939
hsa-miR-372-3p,0.796790540784407
hsa-miR-423-3p,0.796508330828999
hsa-miR-16-2-3p,0.796087830846278
hsa-miR-361-3p,0.795958816936334
hsa-miR-425-3p,0.795114310295821
hsa-miR-150-5p,0.794922456208865
hsa-miR-191-3p,0.793608907974098
hsa-miR-30b-5p,0.79311609997469
hsa-miR-199a-5p,0.792872605155591
hsa-miR-3615,0.792604572507678
hsa-miR-222-5p,0.792572570561008
hsa-miR-27a-3p,0.792007684181485
hsa-miR-125b-2-3p,0.791478877185564
hsa-miR-181a-3p,0.790897928924493
hsa-miR-744-5p,0.790575308376527
hsa-miR-20a-3p,0.790035321870454
hsa-miR-19a-3p,0.789556447519001
hsa-miR-193b-3p,0.788712277922324
hsa-miR-671-3p,0.788225866924334
hsa-miR-3200-5p,0.788091563712687
hsa-miR-124-3p,0.787045606015957
hsa-miR-6720-3p,0.786977557643514
hsa-miR-203a-5p,0.785308680679246
hsa-miR-660-5p,0.785163455241183
